id,store_id,crawl_store_id,"fw_type","smservername"
18,266655,18,"OLD_FW",NULL
19,266651,18,"OLD_FW",NULL
20,261816,18,"OLD_FW",NULL
21,255747,271,"OLD_FW",NULL
23,255332,21,"OLD_FW",NULL
24,255332,22,"OLD_FW",NULL
25,322372,16,"OLD_FW",NULL
26,322372,23,"OLD_FW",NULL
27,336909,14,"OLD_FW",NULL
28,336909,16,"OLD_FW",NULL
29,328559,12,"OLD_FW",NULL
30,328559,16,"OLD_FW",NULL
31,319976,10,"OLD_FW",NULL
32,319976,14,"OLD_FW",NULL
33,319976,17,"OLD_FW",NULL
34,319976,16,"OLD_FW",NULL
35,301014,20,"OLD_FW",NULL
37,255332,16,"OLD_FW",NULL
38,173980,16,"OLD_FW",NULL
39,255332,24,"OLD_FW",NULL
40,10799,12,"OLD_FW",NULL
41,363117,21,"OLD_FW",NULL
42,363117,12,"OLD_FW",NULL
44,371579,12,"OLD_FW",NULL
45,371571,21,"OLD_FW",NULL
46,319976,25,"OLD_FW",NULL
47,319976,17,"OLD_FW",NULL
48,319976,14,"OLD_FW",NULL
49,319976,10,"OLD_FW",NULL
50,319976,12,"OLD_FW",NULL
51,328559,16,"OLD_FW",NULL
52,328559,12,"OLD_FW",NULL
53,328559,24,"OLD_FW",NULL
54,84903,26,"OLD_FW",NULL
55,404437,23,"OLD_FW",NULL
56,405234,16,"OLD_FW",NULL
59,213074,16,"OLD_FW",NULL
60,213074,-27,"OLD_FW",NULL
63,239023,-27,"OLD_FW",NULL
64,239023,16,"OLD_FW",NULL
65,239024,-27,"OLD_FW",NULL
66,239024,16,"OLD_FW",NULL
67,239025,-27,"OLD_FW",NULL
68,239025,16,"OLD_FW",NULL
69,239026,-27,"OLD_FW",NULL
70,239026,16,"OLD_FW",NULL
71,239027,-27,"OLD_FW",NULL
72,239027,16,"OLD_FW",NULL
73,239028,-27,"OLD_FW",NULL
74,239028,16,"OLD_FW",NULL
75,239029,-27,"OLD_FW",NULL
76,239029,16,"OLD_FW",NULL
77,239032,-27,"OLD_FW",NULL
78,239032,16,"OLD_FW",NULL
79,239030,-27,"OLD_FW",NULL
80,239030,16,"OLD_FW",NULL
82,240898,16,"OLD_FW",NULL
83,245126,-27,"OLD_FW",NULL
84,245126,16,"OLD_FW",NULL
85,245127,-27,"OLD_FW",NULL
86,245127,16,"OLD_FW",NULL
87,245128,-27,"OLD_FW",NULL
88,245128,16,"OLD_FW",NULL
89,245129,-27,"OLD_FW",NULL
90,245129,16,"OLD_FW",NULL
91,245130,-27,"OLD_FW",NULL
92,245130,16,"OLD_FW",NULL
93,245131,-27,"OLD_FW",NULL
94,245131,16,"OLD_FW",NULL
95,245132,-27,"OLD_FW",NULL
96,245132,16,"OLD_FW",NULL
97,245133,-27,"OLD_FW",NULL
98,245133,16,"OLD_FW",NULL
100,245134,16,"OLD_FW",NULL
101,245135,-27,"OLD_FW",NULL
102,245135,16,"OLD_FW",NULL
103,251724,-27,"OLD_FW",NULL
104,251724,16,"OLD_FW",NULL
105,251725,-27,"OLD_FW",NULL
106,251725,16,"OLD_FW",NULL
107,288406,-27,"OLD_FW",NULL
108,288406,16,"OLD_FW",NULL
110,313372,16,"OLD_FW",NULL
111,313375,-27,"OLD_FW",NULL
112,313375,16,"OLD_FW",NULL
113,423705,-27,"OLD_FW",NULL
114,423705,16,"OLD_FW",NULL
116,172044,24,"OLD_FW",NULL
117,173836,24,"OLD_FW",NULL
118,182953,24,"OLD_FW",NULL
119,213073,24,"OLD_FW",NULL
120,213074,24,"OLD_FW",NULL
121,239023,24,"OLD_FW",NULL
122,239024,24,"OLD_FW",NULL
123,239025,24,"OLD_FW",NULL
124,239026,24,"OLD_FW",NULL
125,239027,24,"OLD_FW",NULL
126,239028,24,"OLD_FW",NULL
127,239029,24,"OLD_FW",NULL
128,239030,24,"OLD_FW",NULL
129,239032,24,"OLD_FW",NULL
130,240898,24,"OLD_FW",NULL
131,245126,24,"OLD_FW",NULL
133,245128,24,"OLD_FW",NULL
134,245129,24,"OLD_FW",NULL
135,245130,24,"OLD_FW",NULL
138,245133,24,"OLD_FW",NULL
140,245135,24,"OLD_FW",NULL
141,251724,24,"OLD_FW",NULL
143,268510,24,"OLD_FW",NULL
145,313372,24,"OLD_FW",NULL
146,313379,24,"OLD_FW",NULL
148,446138,12,"OLD_FW",NULL
149,446138,16,"OLD_FW",NULL
150,449614,16,"OLD_FW",NULL
151,449614,-27,"OLD_FW",NULL
154,294377,28,"OLD_FW",NULL
157,472888,16,"OLD_FW",NULL
158,163286,159,"OLD_FW",NULL
159,172044,159,"OLD_FW",NULL
160,173836,159,"OLD_FW",NULL
161,182953,159,"OLD_FW",NULL
162,213073,159,"OLD_FW",NULL
163,213074,159,"OLD_FW",NULL
164,239023,159,"OLD_FW",NULL
165,239024,159,"OLD_FW",NULL
166,239025,159,"OLD_FW",NULL
167,239026,159,"OLD_FW",NULL
168,239027,159,"OLD_FW",NULL
169,239028,159,"OLD_FW",NULL
170,239029,159,"OLD_FW",NULL
171,239030,159,"OLD_FW",NULL
172,239032,159,"OLD_FW",NULL
173,240898,159,"OLD_FW",NULL
174,245126,159,"OLD_FW",NULL
175,245127,159,"OLD_FW",NULL
176,245128,159,"OLD_FW",NULL
177,245129,159,"OLD_FW",NULL
178,245130,159,"OLD_FW",NULL
179,245131,159,"OLD_FW",NULL
180,245132,159,"OLD_FW",NULL
181,245133,159,"OLD_FW",NULL
182,245134,159,"OLD_FW",NULL
183,245135,159,"OLD_FW",NULL
184,251724,159,"OLD_FW",NULL
185,251725,159,"OLD_FW",NULL
186,268510,159,"OLD_FW",NULL
187,483360,16,"OLD_FW",NULL
188,483362,16,"OLD_FW",NULL
189,483361,21,"OLD_FW",NULL
190,470271,14,"OLD_FW",NULL
191,470271,16,"OLD_FW",NULL
192,470271,-27,"OLD_FW",NULL
193,470271,24,"OLD_FW",NULL
195,240898,32,"OLD_FW",NULL
197,173980,16,"OLD_FW",NULL
198,374842,12,"OLD_FW",NULL
199,374842,13,"OLD_FW",NULL
200,374842,14,"OLD_FW",NULL
202,374842,16,"OLD_FW",NULL
203,485201,22,"OLD_FW",NULL
204,485201,16,"OLD_FW",NULL
205,485201,24,"OLD_FW",NULL
206,470271,12,"OLD_FW",NULL
207,105634,12,"OLD_FW",NULL
208,105634,16,"OLD_FW",NULL
209,105634,159,"OLD_FW",NULL
210,572190,16,"OLD_FW",NULL
211,560029,33,"OLD_FW",NULL
212,605633,14,"OLD_FW",NULL
213,605633,16,"OLD_FW",NULL
214,605633,12,"OLD_FW",NULL
215,606371,34,"OLD_FW",NULL
216,560029,35,"OLD_FW",NULL
217,594565,16,"OLD_FW",NULL
218,594564,16,"OLD_FW",NULL
229,594565,16,"OLD_FW",NULL
230,594564,16,"OLD_FW",NULL
231,594563,16,"OLD_FW",NULL
232,568045,16,"OLD_FW",NULL
233,567711,16,"OLD_FW",NULL
234,567710,16,"OLD_FW",NULL
235,567709,16,"OLD_FW",NULL
236,567708,16,"OLD_FW",NULL
237,567707,16,"OLD_FW",NULL
238,567706,16,"OLD_FW",NULL
239,567704,16,"OLD_FW",NULL
240,567703,16,"OLD_FW",NULL
241,239023,24,"OLD_FW",NULL
244,239026,24,"OLD_FW",NULL
245,239027,24,"OLD_FW",NULL
247,239029,24,"OLD_FW",NULL
252,245127,24,"OLD_FW",NULL
255,245130,24,"OLD_FW",NULL
256,245131,24,"OLD_FW",NULL
257,245132,24,"OLD_FW",NULL
259,245134,24,"OLD_FW",NULL
260,245135,24,"OLD_FW",NULL
261,251724,24,"OLD_FW",NULL
262,251725,24,"OLD_FW",NULL
263,288406,24,"OLD_FW",NULL
265,313375,24,"OLD_FW",NULL
266,423705,24,"OLD_FW",NULL
267,449614,24,"OLD_FW",NULL
276,594565,24,"OLD_FW",NULL
277,594564,24,"OLD_FW",NULL
278,594563,24,"OLD_FW",NULL
279,141328,16,"OLD_FW",NULL
280,141986,16,"OLD_FW",NULL
283,560029,36,"OLD_FW",NULL
284,560029,37,"OLD_FW",NULL
285,560029,38,"OLD_FW",NULL
286,611471,33,"OLD_FW",NULL
287,611471,35,"OLD_FW",NULL
288,611471,36,"OLD_FW",NULL
289,611471,37,"OLD_FW",NULL
290,611471,38,"OLD_FW",NULL
291,657891,41,"OLD_FW",NULL
293,18,605414,"OLD_FW",NULL
294,404437,40,"OLD_FW",NULL
295,404437,12,"OLD_FW",NULL
296,404437,16,"OLD_FW",NULL
298,485091,20,"OLD_FW",NULL
302,496822,20,"OLD_FW",NULL
313,626496,42,"OLD_FW",NULL
314,626496,42,"OLD_FW",NULL
315,626496,28,"OLD_FW",NULL
318,560029,43,"OLD_FW",NULL
320,727203,44,"OLD_FW",NULL
321,728707,32,"OLD_FW",NULL
322,645537,16,"OLD_FW",NULL
323,645538,16,"OLD_FW",NULL
325,594563,32,"OLD_FW",NULL
326,594563,12,"OLD_FW",NULL
327,567708,32,"OLD_FW",NULL
328,643819,16,"OLD_FW",NULL
329,643819,12,"OLD_FW",NULL
330,643819,32,"OLD_FW",NULL
331,643819,24,"OLD_FW",NULL
332,643819,-27,"OLD_FW",NULL
334,567703,32,"OLD_FW",NULL
338,567704,32,"OLD_FW",NULL
340,567706,32,"OLD_FW",NULL
342,567707,32,"OLD_FW",NULL
346,567709,32,"OLD_FW",NULL
347,567709,12,"OLD_FW",NULL
349,567710,32,"OLD_FW",NULL
351,567711,32,"OLD_FW",NULL
354,547476,16,"OLD_FW",NULL
355,547476,12,"OLD_FW",NULL
356,547476,32,"OLD_FW",NULL
357,547476,24,"OLD_FW",NULL
358,547476,-27,"OLD_FW",NULL
360,568045,24,"OLD_FW",NULL
361,568045,32,"OLD_FW",NULL
363,568045,151,"OLD_FW",NULL
364,423705,12,"OLD_FW",NULL
365,423705,32,"OLD_FW",NULL
366,313372,12,"OLD_FW",NULL
367,313372,32,"OLD_FW",NULL
368,288406,12,"OLD_FW",NULL
369,288406,32,"OLD_FW",NULL
370,251725,32,"OLD_FW",NULL
372,251725,12,"OLD_FW",NULL
373,245134,32,"OLD_FW",NULL
374,245134,12,"OLD_FW",NULL
375,245133,32,"OLD_FW",NULL
376,245133,12,"OLD_FW",NULL
377,245132,12,"OLD_FW",NULL
378,245132,32,"OLD_FW",NULL
379,245131,32,"OLD_FW",NULL
380,245131,12,"OLD_FW",NULL
381,643827,24,"OLD_FW",NULL
382,643827,-27,"OLD_FW",NULL
383,643827,32,"OLD_FW",NULL
384,643827,12,"OLD_FW",NULL
385,643827,16,"OLD_FW",NULL
386,650223,12,"OLD_FW",NULL
387,650223,16,"OLD_FW",NULL
388,650223,32,"OLD_FW",NULL
389,650223,-27,"OLD_FW",NULL
390,650223,24,"OLD_FW",NULL
391,245129,32,"OLD_FW",NULL
392,245129,12,"OLD_FW",NULL
